size, threads, time_col, time_row, time_block

4,4,124.000000,87.000000, 91.000000
8,4,96.000000,72.000000, 67.000000
16,4,102.000000,82.000000, 62.000000
32,4,104.000000,100.000000, 100.000000
64,4,274.000000,411.000000, 537.000000
128,4,1726.000000,2024.000000, 2971.000000
256,4,12867.000000,13918.000000, 19327.000000
512,4,91570.000000,107737.000000, 169291.000000
1024,4,801518.000000,897704.000000, 1429354.000000
2048,4,7851497.000000,7638979.000000, 11605464.000000
4,1,63.000000,46.000000, 38.000000
8,1,47.000000,42.000000, 40.000000
16,1,56.000000,45.000000, 60.000000
32,1,107.000000,128.000000, 180.000000
64,1,468.000000,805.000000, 1309.000000
128,1,3535.000000,6104.000000, 8274.000000
256,1,31126.000000,46984.000000, 66421.000000
512,1,285134.000000,367897.000000, 533825.000000
1024,1,2770258.000000,2925127.000000, 4633533.000000
2048,1,27682335.000000,24156493.000000, 39020459.000000
